generation,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
18246,93.6192,90.22556390977407,91.65772105606486,101.58479135999909,99.99999999999962,99.36676571790694,99.99999999999963,0.921586772455235,0.9022556390977441,0.9224182793296568,0.1066626937059724,0.11719301783890637,109.20828493977585,-0.024702190475629493,0.015569441660672654
18247,93.548,90.22556390977407,91.65772105606486,102.63349600000087,99.99999999999962,99.36676571790694,99.99999999999963,0.9114763078907416,0.9022556390977441,0.9224182793296568,0.07060116595487241,0.11719301783890637,73.40836598400037,0.06337731571689087,0.015569441660672654
18248,93.4552,90.22556390977407,91.65772105606486,102.21159295999966,99.99999999999962,99.36676571790694,99.99999999999963,0.9143307260319633,0.9022556390977441,0.9224182793296568,0.11372136517208299,0.11719301783890637,117.51472800921378,0.08140781069541969,0.015569441660672654
18249,93.4335,90.22556390977407,91.65772105606486,101.44157775000032,99.99999999999962,99.36676571790694,99.99999999999963,0.9210572437099116,0.9022556390977441,0.9224182793296568,0.12224732446903848,0.11719301783890637,124.90026384074923,-0.06123753447113156,0.015569441660672654
18250,93.4247,90.22556390977407,91.65772105606486,102.78572990999896,99.99999999999962,99.36676571790694,99.99999999999963,0.9089267555117267,0.9022556390977441,0.9224182793296568,0.14163904727982365,0.11719301783890637,147.59859834443265,0.05941415891574264,0.015569441660672654
18251,93.2519,90.22556390977407,91.65772105606486,100.62324639000025,99.99999999999962,99.36676571790694,99.99999999999963,0.9267431070407922,0.9022556390977441,0.9224182793296568,0.1547895955064211,0.11719301783890637,156.2389287387241,-0.037277872261450185,0.015569441660672654
18252,93.1477,90.22556390977407,91.65772105606486,101.18128470999913,99.99999999999962,99.36676571790694,99.99999999999963,0.9206020685245834,0.9022556390977441,0.9224182793296568,0.1330397353899616,0.11719301783890637,135.40405062665957,-0.045536710275429826,0.015569441660672654
18253,93.1872,90.22556390977407,91.65772105606486,101.91115615999685,99.99999999999962,99.36676571790694,99.99999999999963,0.914396455808032,0.9022556390977441,0.9224182793296568,0.11949987460869721,0.11719301783890637,122.94193449370051,0.11349927273060345,0.015569441660672654
18254,93.3154,90.22556390977407,91.65772105606486,103.0957228399994,99.99999999999962,99.36676571790694,99.99999999999963,0.9051335732406854,0.9022556390977441,0.9224182793296568,0.09495536829500104,0.11719301783890637,99.39865195253086,0.06959174590437156,0.015569441660672654
18255,93.254,90.22556390977407,91.65772105606486,103.222283999999,99.99999999999962,99.36676571790694,99.99999999999963,0.9034289533837568,0.9022556390977441,0.9224182793296568,0.12337977723866181,0.11719301783890637,129.39103252799484,0.007209181318476698,0.015569441660672654
18256,93.2609,90.22556390977407,91.65772105606486,101.28583119000035,99.99999999999962,99.36676571790694,99.99999999999963,0.9207694591068072,0.9022556390977441,0.9224182793296568,0.1178839446405185,0.11719301783890637,120.16492077505721,0.08121826411564825,0.015569441660672654
18257,93.1765,90.22556390977407,91.65772105606486,103.14854775000384,99.99999999999962,99.36676571790694,99.99999999999963,0.903323430455147,0.9022556390977441,0.9224182793296568,0.12390882836530982,0.11719301783890637,129.80664559424525,-0.09093898683854862,0.015569441660672654
18258,93.2097,90.22556390977407,91.65772105606486,100.64412590999959,99.99999999999962,99.36676571790694,99.99999999999963,0.9261315467467244,0.9022556390977441,0.9224182793296568,0.12387645323559252,0.11719301783890637,125.07525902334372,0.009355094221506377,0.015569441660672654
18259,93.1855,90.22556390977407,91.65772105606486,99.67268974999999,99.99999999999962,99.36676571790694,99.99999999999963,0.9349150728622734,0.9022556390977441,0.9224182793296568,0.11373480639802613,0.11719301783890637,113.17686505275168,-0.042251206107910555,0.015569441660672654
18260,92.9654,90.22556390977407,91.65772105606486,100.81280283999973,99.99999999999962,99.36676571790694,99.99999999999963,0.922158668155925,0.9022556390977441,0.9224182793296568,0.0994340461464114,0.11719301783890637,100.64881035652937,-0.004945084704102598,0.015569441660672654
18261,92.8743,90.22556390977407,91.65772105606486,100.92969950999772,99.99999999999962,99.36676571790694,99.99999999999963,0.9201880165193618,0.9022556390977441,0.9224182793296568,0.10041646892491307,0.11719301783890637,101.82007580680842,-0.030084643820158075,0.015569441660672654
18262,92.8155,90.22556390977407,91.65772105606486,101.79605975000024,99.99999999999962,99.36676571790694,99.99999999999963,0.9117789060592768,0.9022556390977441,0.9224182793296568,0.11996175387106661,0.11719301783890637,123.20809949774808,-0.022100610683663646,0.015569441660672654
18263,92.8061,90.22556390977407,91.65772105606486,101.97950279000153,99.99999999999962,99.36676571790694,99.99999999999963,0.9100466021207064,0.9022556390977441,0.9224182793296568,0.1009352594822943,0.11719301783890637,103.94706687196373,-0.02590702831868308,0.015569441660672654
18264,92.7029,90.22556390977407,91.65772105606486,100.9184315899999,99.99999999999962,99.36676571790694,99.99999999999963,0.918592357604436,0.9022556390977441,0.9224182793296568,0.1179985912910382,0.11719301783890637,119.62792262077964,0.08028107182911848,0.015569441660672654
18265,92.6449,90.22556390977407,91.65772105606486,100.26180398999941,99.99999999999962,99.36676571790694,99.99999999999963,0.924029852976123,0.9022556390977441,0.9224182793296568,0.1107667044264878,0.11719301783890637,111.20197648369425,0.0857318723149616,0.015569441660672654
18266,92.4931,90.22556390977407,91.65772105606486,100.32855239000057,99.99999999999962,99.36676571790694,99.99999999999963,0.9219020687197566,0.9022556390977441,0.9224182793296568,0.1167732121543948,0.11719301783890637,117.34917636298074,-0.08046889606339125,0.015569441660672654
18267,92.4997,90.22556390977407,91.65772105606486,99.17899990999766,99.99999999999962,99.36676571790694,99.99999999999963,0.9326540909259123,0.9022556390977441,0.9224182793296568,0.1532448174174799,0.11719301783890637,151.36148609994524,0.0097303678695142,0.015569441660672654
18268,92.5335,90.22556390977407,91.65772105606486,98.4424777500041,99.99999999999962,99.36676571790694,99.99999999999963,0.939975324828678,0.9022556390977441,0.9224182793296568,0.07158496696042524,0.11719301783890637,69.91906839074997,-0.05152544052323149,0.015569441660672654
18269,92.5643,90.22556390977407,91.65772105606486,102.00346550999853,99.99999999999962,99.36676571790694,99.99999999999963,0.9074623056892779,0.9022556390977441,0.9224182793296568,0.13441455181550468,0.11719301783890637,138.4741406554116,0.03285028715555516,0.015569441660672654
18270,92.3797,90.22556390977407,91.65772105606486,99.26832791000012,99.99999999999962,99.36676571790694,99.99999999999963,0.93060598425466,0.9022556390977441,0.9224182793296568,0.09617803410988722,0.11719301783890637,95.1244055351451,-0.005561764480500386,0.015569441660672654
18271,92.3299,90.22556390977407,91.65772105606486,97.70466598999715,99.99999999999962,99.36676571790694,99.99999999999963,0.9449896692697622,0.9022556390977441,0.9224182793296568,0.11751336734230379,0.11719301783890637,113.49068772980075,-0.0019154705778365866,0.015569441660672654
18272,92.4721,90.22556390977407,91.65772105606486,98.23662159000047,99.99999999999962,99.36676571790694,99.99999999999963,0.9413200342530179,0.9022556390977441,0.9224182793296568,0.09664415245747934,0.11719301783890637,94.09915194472478,0.01841809327732591,0.015569441660672654
18273,92.5908,90.22556390977407,91.65772105606486,98.1203553599995,99.99999999999962,99.36676571790694,99.99999999999963,0.9436451759707577,0.9022556390977441,0.9224182793296568,0.06872315951149087,0.11719301783890637,66.79466658662075,0.019301011605656004,0.015569441660672654
18274,92.5548,90.22556390977407,91.65772105606486,99.24059696000205,99.99999999999962,99.36676571790694,99.99999999999963,0.9326304237902086,0.9022556390977441,0.9224182793296568,0.12718054680541016,0.11719301783890637,125.73458129318803,-0.018377552063997715,0.015569441660672654
18275,92.7184,90.22556390977407,91.65772105606486,99.75210143999834,99.99999999999962,99.36676571790694,99.99999999999963,0.9294881878330236,0.9022556390977441,0.9224182793296568,0.06707657391947246,0.11719301783890637,66.8273057710081,-0.10307044932681464,0.015569441660672654
18276,92.6835,90.22556390977407,91.65772105606486,98.32652774999997,99.99999999999962,99.36676571790694,99.99999999999963,0.9426093051475626,0.9022556390977441,0.9224182793296568,0.1019590905395422,0.11719301783890637,99.41044261574869,-0.018454599925198156,0.015569441660672654
18277,92.6048,90.22556390977407,91.65772105606486,98.92021695999924,99.99999999999962,99.36676571790694,99.99999999999963,0.936156458668575,0.9022556390977441,0.9224182793296568,0.12459470406344215,0.11719301783890637,122.58213276518825,0.05664838559483787,0.015569441660672654
18278,92.5275,90.22556390977407,91.65772105606486,99.09844375000058,99.99999999999962,99.36676571790694,99.99999999999963,0.9336927654830045,0.9022556390977441,0.9224182793296568,0.13104439066198167,0.11719301783890637,129.27623259374283,0.07839326631449905,0.015569441660672654
18279,92.4908,90.22556390977407,91.65772105606486,102.96911535999867,99.99999999999962,99.36676571790694,99.99999999999963,0.8982382695688451,0.9022556390977441,0.9224182793296568,0.08688470531266426,0.11719301783890637,90.78284836262576,-0.011909633105822603,0.015569441660672654
18280,92.3717,90.22556390977407,91.65772105606486,103.50753911000129,99.99999999999962,99.36676571790694,99.99999999999963,0.8924151882485891,0.9022556390977441,0.9224182793296568,0.1244519995191929,0.11719301783890637,131.05688873562275,-0.02823142022833469,0.015569441660672654
18281,92.3849,90.22556390977407,91.65772105606486,100.03255199000077,99.99999999999962,99.36676571790694,99.99999999999963,0.923548366628043,0.9022556390977441,0.9224182793296568,0.12050204653885514,0.11719301783890637,120.56089004809914,0.04180888550903683,0.015569441660672654
18282,92.4899,90.22556390977407,91.65772105606486,100.08509799000078,99.99999999999962,99.36676571790694,99.99999999999963,0.9241125987531172,0.9022556390977441,0.9224182793296568,0.13763592901427518,0.11719301783890637,137.81165449940414,-0.03644655166653976,0.015569441660672654
18283,92.4995,90.22556390977407,91.65772105606486,98.54539974999965,99.99999999999962,99.36676571790694,99.99999999999963,0.9386485846590756,0.9022556390977441,0.9224182793296568,0.13067417992786043,0.11719301783890637,127.83339309975617,-0.038416331409625304,0.015569441660672654
18284,92.6641,90.22556390977407,91.65772105606486,100.14047118999952,99.99999999999962,99.36676571790694,99.99999999999963,0.9253411622578211,0.9022556390977441,0.9224182793296568,0.1298550425655831,0.11719301783890637,130.12875201544318,0.08313196994973815,0.015569441660672654
18285,92.7071,90.22556390977407,91.65772105606486,101.00730959000663,99.99999999999962,99.36676571790694,99.99999999999963,0.9178256541660443,0.9022556390977441,0.9224182793296568,0.11724181525904642,0.11719301783890637,119.01775094782393,0.06457659650709369,0.015569441660672654
18286,92.6928,90.22556390977407,91.65772105606486,101.19262816000126,99.99999999999962,99.36676571790694,99.99999999999963,0.9160034844972925,0.9022556390977441,0.9224182793296568,0.13235649024420107,0.11719301783890637,134.73131714150134,0.032180627068181256,0.015569441660672654
18287,92.6039,90.22556390977407,91.65772105606486,100.27420478999963,99.99999999999962,99.36676571790694,99.99999999999963,0.9235067003915588,0.9022556390977441,0.9224182793296568,0.09107741909498154,0.11719301783890637,91.45228374464136,-0.00984778088758409,0.015569441660672654
18288,92.3455,90.22556390977407,91.65772105606486,97.24472975000033,99.99999999999962,99.36676571790694,99.99999999999963,0.9496195859395629,0.9022556390977441,0.9224182793296568,0.09793379701644704,0.11719301783890637,93.91429519275084,0.028367374120134237,0.015569441660672654
